main_category,number,sub_category,part_number,barcode_number,description,units,weight,length,brand
Lumber,100,KD FIR,LKD1208,na,1x2-8 Hiline Furring,EA,2.75,8,na
Lumber,100,KD FIR,LKD21008,na,2x10-8ft. Premium KD D-FIR,EA,27,8,na
Lumber,100,KD FIR,LKD21010,na,2x10-10ft. Premium KD D-FIR,EA,33,10,na
Lumber,100,KD FIR,LKD21012,na,2x10-12ft. Premium KD D-FIR,EA,40,12,na
Lumber,100,KD FIR,LKD21016,na,2x10-16ft. Premium KD D-FIR,EA,56,16,na
Lumber,100,KD FIR,LKD21020,na,2x10-20ft. Premium KD D-FIR,EA,67,20,na
Lumber,100,KD FIR,LKD21208,na,2x12-8ft. Premium KD D-FIR,EA,32,8,na
Lumber,100,KD FIR,LKD21210,na,2x12-10ft. Premium KD D-FIR,EA,40,10,na
Lumber,100,KD FIR,LKD21212,na,2x12-12ft. Premium KD D-FIR,EA,48,12,na
Lumber,100,KD FIR,LKD21216,na,2x12-16ft. Premium KD D-FIR,EA,64,16,na
Lumber,100,KD FIR,LKD21220,na,2x12-20ft. Premium KD D-FIR,EA,80,20,na
Lumber,100,KD FIR,LKD2208,na,2x2-8 Hi line Furring,EA,5,8,na
Lumber,100,KD FIR,LKD2408,na,2x4-8ft. Premium KD D-FIR,EA,5.33,8,na
Lumber,100,KD FIR,LKD2410,na,2x4-10ft. Premium KD D-FIR,EA,13,10,na
Lumber,100,KD FIR,LKD2412,na,2x4-12ft. Premium KD D-FIR,EA,16,12,na
Lumber,100,KD FIR,LKD2416,na,2x4-16ft. Premium KD D-FIR,EA,27,16,na
Lumber,100,KD FIR,LKD2608,na,2x6-8ft. Premium KD D-FIR,EA,16,8,na
Lumber,100,KD FIR,LKD2610,na,2x6-10ft. Premium KD D-FIR,EA,20,10,na
Lumber,100,KD FIR,LKD2612,na,2x6-12ft. Premium KD D-FIR,EA,24,12,na
Lumber,100,KD FIR,LKD2616,na,2x6-16ft. Premium KD D-FIR,EA,32,16,na
Lumber,100,KD FIR,LKD2620,na,2x6-20ft. Premium KD D-FIR,EA,40,20,na
Lumber,100,KD FIR,LKD2808,na,2x8-8ft. Premium KD D-FIR,EA,21,8,na
Lumber,100,KD FIR,LKD2810,na,2x8-10ft. Premium KD D-FIR,EA,27,10,na
Lumber,100,KD FIR,LKD2812,na,2x8-12ft. Premium KD D-FIR,EA,32,12,na
Lumber,100,KD FIR,LKD2816,na,2x8-16ft. Premium KD D-FIR,EA,43,16,na
Lumber,100,KD FIR,LKD2820,na,2x8-20ft. Premium KD D-FIR,EA,53,20,na
Lumber,100,KD FIR,LKD4408,na,4x4-8ft. no.2 & Better KD D-FIR,EA,22,8,na
Lumber,100,KD FIR,LKD4410,na,4x4-10ft. no.2 & Better KD D-FIR,EA,26,10,na
Lumber,100,KD FIR,LKD4412,na,4x4-12ft. no.2 & Better KD D-FIR,EA,32,12,na
Lumber,100,KD FIR,LKD4416,na,4x4-16ft. no.2 & Better KD D-FIR,EA,41,16,na
Lumber,100,KD FIR,LKD4420,na,4x4-20ft. no.2 & Better KD D-FIR,EA,54,20,na
Lumber,100,KD FIR,LKD4608,na,4x6-8 KD no.2 KD FIR S4S,EA,32,8,na
Lumber,100,KD FIR,LKD4610,na,4x6-10 KD no.2 KD FIR S4S,EA,40,10,na
Lumber,100,KD FIR,LKD4612,na,4x6-12 KD no.2 KD FIR S4S,EA,48,12,na
Lumber,105,Pressure treated,Lt 1408,na,1x4-8ft Pressure Treated,EA,6.66,8,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 1410,na,1x4-10ft Pressure Treated,EA,8.33,10,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 1412,na,1x4-12ft Pressure Treated,EA,9.99,12,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 1608,na,1x6-8ft Pressure Treated,EA,10,8,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 1610,na,1x6-10ft Pressure Treated,EA,12.5,10,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 1612,na,1x6-12ft Pressure Treated,EA,15,12,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 21008,na,2x10-8ft. Pressure Treated,EA,35,8,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 21010,na,2x10-10ft. Pressure Treated,EA,55,10,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 21012,na,2x10-12ft. Pressure Treated,EA,66,12,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 21016,na,2x10-16ft. Pressure Treated,EA,88,16,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 21208,na,2x12-8ft. Pressure Treated,EA,53,8,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 21210,na,2x12-10ft. Pressure Treated,EA,66,10,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 21212,na,2x12-12ft. Pressure Treated,EA,79,12,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 21216,na,2x12-16ft. Pressure Treated,EA,106,16,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 2408,na,2x4-8ft. Pressure Treated,EA,17,8,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 2410,na,2x4-10ft. Pressure Treated,EA,21,10,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 2412,na,2x4-12ft. Pressure Treated,EA,26,12,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 2416,na,2x4-16ft. Pressure Treated,EA,34,16,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 2608,na,2x6-8ft. Pressure Treated,EA,26,8,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 2610,na,2x6-10ft. Pressure Treated,EA,32,10,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 2612,na,2x6-12ft. Pressure Treated,EA,38,12,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 2616,na,2x6-16ft. Pressure Treated,EA,51,16,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 2808,na,2x8-8ft. Pressure Treated,EA,35,8,Allweather Wood Treaters
Lumber,105,Pressure treated,Lt 2810,na,2x8-10ft. Pressure Treated,EA,44,10,Allweather Wood Treaters
